2024-08-27 14:59:53,321 - INFO - Start Plot_WIS_Sobek_H_Boezem.py
2024-08-27 14:59:53,545 - INFO - Starting get_timeseries function
2024-08-27 15:01:44,057 - INFO - Ending get_timeseries function
2024-08-27 15:05:02,661 - INFO - Starting get_timeseries function
2024-08-27 15:06:52,917 - INFO - Ending get_timeseries function
2024-08-27 15:06:52,996 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Delft, WISId: Meetlocatie_OW000852.
2024-08-27 15:06:53,106 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Geesje, WISId: Meetlocatie_OW410971.
2024-08-27 15:06:53,564 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Gem ONWpld, WISId: Meetlocatie_OW000329.
2024-08-27 15:06:53,612 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Haringkade, WISId: Meetlocatie_OW401976.
2024-08-27 15:06:53,880 - WARNING - Geen WIS data beschikbaar voor SobekId: MS St Spuidijk, WISId: Meetlocatie_OW000069.
2024-08-27 15:06:55,235 - WARNING - Geen WIS data beschikbaar voor SobekId: MS_TDB_berging_UIT, WISId: Meetlocatie_OW000819.
2024-08-27 15:06:55,604 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Inl Hofzichtlaan, WISId: Meetlocatie_OW000564.
2024-08-27 15:06:56,135 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Gem VL Driesluizen, WISId: Meetlocatie_OW000617.
2024-08-27 15:06:56,256 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Zestienhovensekade, WISId: Meetlocatie_OW252971.
2024-08-27 15:06:56,584 - WARNING - Geen WIS data beschikbaar voor SobekId: MS Gem Wateringsesluis, WISId: Meetlocatie_OW150970.
